"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-01T08:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T08:00+0100","Zch_Schimmelstrasse","T","h1","°C",-1.23,"bereinigt"
"2025-01-01T08:00+0100","Zch_Schimmelstrasse","WD","h1","°",154.21,"bereinigt"
"2025-01-01T08:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.46,"bereinigt"
"2025-01-01T08:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.41,"bereinigt"
"2025-01-01T08:00+0100","Zch_Schimmelstrasse","p","h1","hPa",979.45,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",98.48,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",10.02,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.17,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",153.33,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.23,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",1.06,"bereinigt"
"2025-01-01T08:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.49,"bereinigt"
"2025-01-01T09:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.99,"bereinigt"
"2025-01-01T09:00+0100","Zch_Heubeeribüel","T","h1","°C",-0.91,"bereinigt"
"2025-01-01T09:00+0100","Zch_Heubeeribüel","p","h1","hPa",955.72,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",95.67,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.42,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","WD","h1","°",221.03,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.62,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.5,"bereinigt"
"2025-01-01T09:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",976.92,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",99.98,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.93,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","WD","h1","°",322.98,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.69,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.23,"bereinigt"
"2025-01-01T09:00+0100","Zch_Schimmelstrasse","p","h1","hPa",979.58,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",98.75,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",49.46,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-1.32,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",235.05,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.83,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.42,"bereinigt"
"2025-01-01T09:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",976.62,"bereinigt"
"2025-01-01T10:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",93.64,"bereinigt"
"2025-01-01T10:00+0100","Zch_Heubeeribüel","T","h1","°C",1.3,"bereinigt"
"2025-01-01T10:00+0100","Zch_Heubeeribüel","p","h1","hPa",955.87,"bereinigt"
